feeling,sentence
happy,my life is great. Everyone loves me
happy,Mom gave me more chocolate
happy,I am so excited for our summer trip!
happy,I got new shoes
happy,The dance show went great!
sad,I feel defeated
sad,I saw a snake
happy,Can we stay longer?
happy,I went on a great hike and now I feel energized
happy,The pizza is great
happy,This dessert is delectable! 
happy,I am ecstatic! 
happy,Today was the best day ever! 
happy,I really like this song
happy,Summer is almost here!
happy,I am happy!
sad,charlie bit me! and it hurts!
happy,I don't have work today
happy,Can I have more? It's so delicious!
happy,I love salad! 
sad,I am morose today.
happy,Everything's coming up daisies
happy,Dream come true
happy,Jump for joy
happy,"The sun is really bright, and the weather is perfect today!"
happy,tears of joy
happy,what a beautiful music
happy,Dancing on air
happy,I had super yummy sri lankan food and sweets
happy,I graduated today with perfect grades!
happy,Hahaha I'm so happy!
happy,I went to see Hamilton!
happy,I cannot believe that the famous rock band is coming to visit us here!!
happy,I love pizza! 
happy,I had a ton of cake today
happy,The weather is beautiful today 
happy,I love the bouncy house! There are so many fun things to do! 
happy,We're going on a camping trip!?!? Yay!!! 
sad,I feel lonely
happy,My team won!
happy,sleeping in late
happy,On the crest of a wave
happy,I love summer!
happy,We are on time! 
sad,It's a Heartache
happy,Let's go to the pool
happy,I am cool
happy,Comfortable in your skin
happy,my cousins are visiting me!
happy,Mom and dad are planning a great party for christmas. I am excited
happy,This food tastes really good!
happy,Tons of fun!
happy,Congratulations on your new job! 
happy,I got a certficate for perfect attendance!
happy,It's My Birthday!
happy,I went cherry picking!
happy,I like to read
happy,Mom made my favorite dish for dinner!
happy,Over the moon
happy,"Life, liberty and the pursuit of happiness"
happy,went to disneyland :)
happy,kittens playing with toys
happy,"Love, joy, happiness, jubilance, sanguine, euphoria, good are some happy words."
happy,Crack a smile
happy,I really really love this present!
happy,i love my sister
happy,Its yummy
happy,I solved a rubik cube in one minute!
happy,This is the last week of school!
happy, I feel good mama 
happy,Let's do something fun this summer!
sad,I lost my ipad :O
happy,Laugh as much as you breathe and love as long as you live.
happy,I cannot wait for the party today!
happy,Today is Friday?? Yay!!! :D 
happy,There is so much to look forward to! 
happy,I had a lot of fun today.
happy,I love chocolate and desserts! 
happy,Haha today is a great day! 
happy,Warms my heart
happy,Grandpa bought me icecream
sad,I need to get some exercise
happy,Domestic harmony
happy,On top of the world
happy,I am so lucky to have you as my best friend.
happy,ice cream every day
happy,Walk on air
sad,They will not stop arguing!
happy,That cake looks so delectable. Love the chocolate frosting and flower designs!
happy,I am jumping with joy
happy,I got an A+ in physics! 
happy,I am beautiful
happy,I distributed a bhagavad-gita
happy,Daddy loves me
sad,My doctor says I cannot have sugar
sad,I got a bad grade in math 
happy,dancing with the stars
happy,It's a holiday tomorrow!
happy,Happy birthday! Congratulations on another year!
happy,deer in the front yard
happy,I cannot believe I won the lottery! I'm so happy to hear that!
happy,Summer is here!
happy,there are rainbows everywhere
happy,I work at Pyxeda
happy,This is so much fun!
happy,Warm and fuzzy
happy,I am so excited for tomorrow!
happy,I had the best dream ever! 
happy,I finally saw the movie!
happy,Walking on sunshine
happy,I won a trophy!
happy,Lift up your hearts
happy,received a hearty welcome
happy,On cloud nine
happy,I love this cake...it's so yummy! 
sad,"I am bloated, I don't feel good..I feel like puking "
sad,I'm feeling blue.
happy,I am going cherry picking
happy,My cousin is graduating from college!
happy,I want to go to school
happy,I like my jacket
happy,My friend is celebrating her birthday today!
happy,Everything in the garden is rosey
sad,I'm bored and tired.
happy,Let's go play! I finished all my homework
sad,my pet is very sick
happy,I got a new kitten!
happy,I have enough money! Let's buy it!
happy,I drew a beautiful picture!
happy,I got to eat my favorite food today 
happy,Keep your chin up
happy,We are going camping
happy,I got a new pet!
happy,jumping with joy
happy,Joy to the world
happy,I can't wait for the years to come!
happy,I learned something new
happy,The stars are beautiful
happy,pancakes for breakfast and brunch!
happy,We don't have school tomorrow!
happy,I cannot wait to jump in the playhouse! 
happy,I will have a great summer!
happy,When can we hang out? I'm free this weekend!
happy,I am really happy!
happy,We are going to the zoo
happy,I got an A on my test!
happy,Mama sing kirtan
happy,I went to disneyland. The rides were really fun 
happy,My friend is coming for play date 
happy,I found my passion
